4901 49 3 1 1982 39 39 69 69 93 93 115 115 139 139 162 162 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 3 0 36 35 3 9 44 4 1 52 4 4 60 4 9 83 5 4 107 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
4902 49 3 1 1987 -7 -7 17 17 42 42 64 64 87 87 110 110 134 134 160 160 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 8 25 3 1 33 3 5 39 4 0 50 4 5 61 4 8 70 5 1 94 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
5001 50 3 1 1985 7 7 36 36 61 61 84 84 107 107 130 130 157 153 -7 -7 -7 -7 -7 -7 -7 -7 2 5 29 20 3 3 35 3 7 44 3 11 65 4 4 65 4 7 95 5 3 133 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
5002 50 3 1 1988 -7 -7 0 0 25 25 48 48 71 71 94 94 117 117 145 145 167 166 -7 -7 -7 -7 -7 -7 -7 -7 1 11 12 2 11 35 3 6 41 4 0 50 4 6 70 4 8 107 5 4 184 -7 215 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
5003 50 3 1 1990 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
5004 50 3 1 1990 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
5005 50 3 2 1992 -7 -7 -7 -7 -7 -7 -7 -7 20 20 43 42 65 65 93 93 115 115 139 139 163 163 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 9 20 3 3 32 3 9 40 4 4 64 -7 88 61 95 -7 135 -7 135 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
5701 57 3 1 1979 80 80 111 111 134 134 157 157 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 3 11 47 52 4 4 61 4 7 77 5 1 97 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
5702 57 3 1 1995 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 7 7 33 33 57 57 -3 83 104 104 -3 126 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 4 26 3 2 41 3 6 50 -7 -7 -7 153 -7 -7 -7 75 -3 149 -7 -7 -7 96 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
5703 57 3 2 1998 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 5 5 28 28 54 54 75 75 -3 97 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 2 16 3 0 32 -7 -1 -7 48 -7 -7 -7 69 -3 120 -7 -7 -7 110 149 145 -7 130 -7 135 179 175 -7 140 -7 125 532
5801 58 3 2 1981 55 55 85 85 109 109 132 132 155 155 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 3 5 41 36 3 11 43 4 1 55 4 7 73 5 2 96 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
5802 58 3 2 1984 22 22 53 53 77 77 99 99 123 123 147 147 173 173 -7 -7 -7 -7 -7 -7 -7 -7 2 11 35 31 3 7 41 3 11 48 4 3 62 4 8 87 5 1 98 5 4 105 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
5803 58 3 1 1988 -7 -7 -7 -7 22 22 45 44 68 68 92 92 118 118 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 11 25 3 3 35 3 8 35 4 2 51 4 6 65 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
6101 61 3 2 1993 -7 -7 -7 -7 -7 -7 -7 -7 16 16 38 38 62 62 89 89 111 111 138 138 159 156 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 8 26 2 11 35 3 10 43 3 3 38 -7 55 -7 64 -7 91 -7 84 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
6102 61 3 1 1994 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 21 21 45 45 71 71 93 94 120 120 141 139 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 8 34 3 10 41 3 0 38 -7 48 -7 70 -7 84 -7 89 164 162 -7 105 -7 104 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
6103 61 3 1 2003 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 13 13 -3 31 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 20 24 -7 -7 26 32 56 54 -7 38 34 32 79 77 -7 47 42 42 112 109 -7 61 -7 60 532
6201 62 3 1 1996 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 22 22 48 48 71 71 95 95 117 116 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 3 1 37 3 6 38 48 48 -7 63 58 81 -7 63 141 138 -7 91 -7 87 165 167 -7 118 -7 120 -7 -7 -7 -7 -7 -7 532
6202 62 3 2 1998 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 23 23 46 46 69 69 92 90 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 3 1 28 41 38 -7 50 -7 61 -7 54 115 112 -7 78 -7 70 140 142 62 92 -7 90 171 168 -7 117 -7 109 532
6203 62 3 2 2001 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 8 8 32 32 54 52 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 27 26 -7 35 -7 51 -7 47 77 75 -7 66 -7 65 102 104 52 90 -7 87 133 130 -7 120 -7 117 532
6801 68 3 2 1993 -7 -7 -7 -7 -7 -7 -7 -7 11 11 33 33 57 57 81 81 106 106 130 130 153 151 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 5 21 3 1 29 3 7 36 4 0 42 54 55 -7 66 -7 79 -7 77 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
6802 68 3 1 1995 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 10 10 34 34 58 58 83 83 107 107 130 128 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 5 23 3 3 31 3 8 43 51 48 -7 60 -7 72 -7 69 153 152 55 88 -7 80 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
6803 68 3 2 1996 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 17 17 41 41 66 66 90 90 113 111 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 7 21 3 3 24 44 40 -7 50 -7 60 -7 57 136 134 -7 73 -7 72 161 157 -7 96 -7 85 -7 -7 -7 -7 -7 -7 532
7501 75 3 2 1994 -7 -7 -7 -7 -7 -7 -7 -7 7 7 28 28 52 51 -7 -7 -7 -7 127 127 -3 148 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 1 18 3 2 34 3 0 42 -7 -7 -7 -7 -7 -7 95 -7 -7 -7 85 -3 175 -7 -7 -7 100 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
7502 75 3 2 1996 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 22 22 -7 -7 -7 -7 98 98 -3 118 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 9 29 -7 -7 -7 -7 -7 -7 50 -7 -7 -7 70 -3 146 -7 -7 -7 70 -3 164 -7 -7 -7 80 -7 -7 -7 -7 -7 -7 532
7801 78 3 2 1989 -7 -7 -7 -7 16 16 39 39 63 63 86 86 109 109 134 134 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 8 19 2 10 24 2 4 30 3 10 45 4 4 55 4 4 82 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
7802 78 3 2 1992 -7 -7 -7 -7 -7 -7 4 4 29 29 51 51 74 74 99 99 -7 -7 150 150 172 172 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 1 13 2 2 23 3 4 36 3 11 42 4 1 65 -7 -7 -7 105 -7 109 -7 110 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
